IF_task,shot_level,n,if_num_strict,if_num_loose,if_rate_strict,if_rate_loose,perf_num,perf_den,mean_performance
change_case_english_capital,0,42,41,41,0.9761904761904762,0.9761904761904762,12.0,42.0,0.2857142857142857
change_case_english_capital,1,42,40,40,0.9523809523809523,0.9523809523809523,27.0,42.0,0.6428571428571429
change_case_english_capital,2,42,41,41,0.9761904761904762,0.9761904761904762,27.0,42.0,0.6428571428571429
change_case_english_capital,3,42,42,42,1.0,1.0,29.0,42.0,0.6904761904761905
change_case_english_capital,4,42,42,42,1.0,1.0,26.0,42.0,0.6190476190476191
change_case_english_capital,5,42,42,42,1.0,1.0,27.0,42.0,0.6428571428571429
change_case_english_capital,6,42,42,42,1.0,1.0,27.0,42.0,0.6428571428571429
change_case_english_capital,7,42,42,42,1.0,1.0,27.0,42.0,0.6428571428571429
change_case_english_capital,8,42,42,42,1.0,1.0,26.0,42.0,0.6190476190476191
change_case_english_lowercase,0,50,50,50,1.0,1.0,16.0,50.0,0.32
change_case_english_lowercase,1,50,50,50,1.0,1.0,27.0,50.0,0.54
change_case_english_lowercase,2,50,50,50,1.0,1.0,30.0,50.0,0.6
change_case_english_lowercase,3,50,50,50,1.0,1.0,27.0,50.0,0.54
change_case_english_lowercase,4,50,50,50,1.0,1.0,29.0,50.0,0.58
change_case_english_lowercase,5,50,50,50,1.0,1.0,28.0,50.0,0.56
change_case_english_lowercase,6,50,50,50,1.0,1.0,28.0,50.0,0.56
change_case_english_lowercase,7,50,50,50,1.0,1.0,24.0,50.0,0.48
change_case_english_lowercase,8,50,50,50,1.0,1.0,26.0,50.0,0.52
combination_repeat_prompt,0,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,1,12,12,12,1.0,1.0,11.0,12.0,0.9166666666666666
combination_repeat_prompt,2,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
combination_repeat_prompt,3,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,4,12,11,11,0.9166666666666666,0.9166666666666666,9.0,12.0,0.75
combination_repeat_prompt,5,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
combination_repeat_prompt,6,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
combination_repeat_prompt,7,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
combination_repeat_prompt,8,12,11,11,0.9166666666666666,0.9166666666666666,10.0,12.0,0.8333333333333334
detectable_format_json_format,0,78,71,72,0.9102564102564102,0.9230769230769231,68.0,78.0,0.8717948717948718
detectable_format_json_format,1,78,74,74,0.9487179487179487,0.9487179487179487,68.0,78.0,0.8717948717948718
detectable_format_json_format,2,78,78,78,1.0,1.0,67.0,78.0,0.8589743589743589
detectable_format_json_format,3,78,78,78,1.0,1.0,68.0,78.0,0.8717948717948718
detectable_format_json_format,4,78,78,78,1.0,1.0,67.0,78.0,0.8589743589743589
detectable_format_json_format,5,78,78,78,1.0,1.0,65.0,78.0,0.8333333333333334
detectable_format_json_format,6,78,78,78,1.0,1.0,68.0,78.0,0.8717948717948718
detectable_format_json_format,7,78,78,78,1.0,1.0,65.0,78.0,0.8333333333333334
detectable_format_json_format,8,78,78,78,1.0,1.0,67.0,78.0,0.8589743589743589
detectable_format_title,0,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,1,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,2,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,3,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,4,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,5,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,6,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,7,6,6,6,1.0,1.0,0.0,6.0,0.0
detectable_format_title,8,6,6,6,1.0,1.0,0.0,6.0,0.0
startend_end_checker,0,6,3,3,0.5,0.5,0.0,6.0,0.0
startend_end_checker,1,6,6,6,1.0,1.0,2.0,6.0,0.3333333333333333
startend_end_checker,2,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,3,6,6,6,1.0,1.0,4.0,6.0,0.6666666666666666
startend_end_checker,4,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,5,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,6,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,7,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_end_checker,8,6,6,6,1.0,1.0,5.0,6.0,0.8333333333333334
startend_quotation,0,19,19,19,1.0,1.0,13.0,19.0,0.6842105263157895
startend_quotation,1,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,2,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,3,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,4,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,5,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,6,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,7,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
startend_quotation,8,19,19,19,1.0,1.0,14.0,19.0,0.7368421052631579
